"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 22 03:46:12 UTC 2023","Sun Oct 22 03:46:30 UTC 2023","17851","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Oct 22 04:04:48 UTC 2023","Sun Oct 22 04:04:51 UTC 2023","2343","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Sun Oct 22 03:48:44 UTC 2023","Sun Oct 22 03:49:01 UTC 2023","17529","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"skipped","Sun Oct 22 04:49:01 UTC 2023","Sun Oct 22 04:49:01 UTC 2023","12","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Oct 22 02:33:06 UTC 2023","Sun Oct 22 02:33:15 UTC 2023","9418","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Sun Oct 22 02:56:27 UTC 2023","Sun Oct 22 02:56:46 UTC 2023","19506","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sun Oct 22 03:36:18 UTC 2023","Sun Oct 22 03:36:20 UTC 2023","2348","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Sun Oct 22 02:51:00 UTC 2023","Sun Oct 22 02:51:19 UTC 2023","19772","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sun Oct 22 02:32:32 UTC 2023","Sun Oct 22 02:32:59 UTC 2023","26284","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sun Oct 22 04:03:02 UTC 2023","Sun Oct 22 04:03:17 UTC 2023","15296","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sun Oct 22 02:51:41 UTC 2023","Sun Oct 22 02:51:43 UTC 2023","1872","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Oct 22 03:03:09 UTC 2023","Sun Oct 22 03:03:28 UTC 2023","18558","","9. Client Portal - Home","","","","1. Check links",""
"passed","Sun Oct 22 02:37:48 UTC 2023","Sun Oct 22 02:38:02 UTC 2023","13603","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sun Oct 22 02:23:31 UTC 2023","Sun Oct 22 02:23:42 UTC 2023","11009","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sun Oct 22 02:50:29 UTC 2023","Sun Oct 22 02:50:49 UTC 2023","19207","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Oct 22 02:40:15 UTC 2023","Sun Oct 22 02:40:18 UTC 2023","2544","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Oct 22 02:27:57 UTC 2023","Sun Oct 22 02:28:03 UTC 2023","5606","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sun Oct 22 02:45:28 UTC 2023","Sun Oct 22 02:45:30 UTC 2023","2790","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Oct 22 02:52:09 UTC 2023","Sun Oct 22 02:52:12 UTC 2023","3325","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Oct 22 03:11:19 UTC 2023","Sun Oct 22 03:11:30 UTC 2023","11771","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Oct 22 03:32:37 UTC 2023","Sun Oct 22 03:33:23 UTC 2023","46543","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
